date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:45	116/116	---M-Z	200	added ('OK')	text/plain	date:Fri,%2029%20Nov%202024%2014:12:12%20GMT	https://ptsdonsolana.com/robots.txt		(from )
14:09:46	253189/253189	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202024%2014:12:12%20GMT	https://ptsdonsolana.com/	C:/Users/221/Desktop/website-main/asdas/ptsdonsolana.com/index.html	(from )
14:09:46	1137/1137	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2029%20Nov%202024%2014:12:12%20GMT	https://ptsdonsolana.com/xmlrpc.php	C:/Users/221/Desktop/website-main/asdas/ptsdonsolana.com/xmlrpc.php	(from https://ptsdonsolana.com/)
14:09:46	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-61e5107ba114b%22	https://ptsdonsolana.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/Users/221/Desktop/website-main/asdas/ptsdonsolana.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://ptsdonsolana.com/)
14:09:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Nov%202024%2014:12:13%20GMT	http://ptsdonsolana.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	C:/Users/221/Desktop/website-main/asdas/ptsdonsolana.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.2.delayed	(from https://ptsdonsolana.com/)
14:09:47	1174/1174	---M-Z	200	added ('OK')	application/rss+xml	etag:%22097a8b2797043eac38f2e045b69512a2-gzip%22	https://ptsdonsolana.com/feed/	C:/Users/221/Desktop/website-main/asdas/ptsdonsolana.com/feed/index.html	(from https://ptsdonsolana.com/)
14:09:47	786/786	---M-Z	200	added ('OK')	application/rss+xml	etag:%22097a8b2797043eac38f2e045b69512a2-gzip%22	https://ptsdonsolana.com/comments/feed/	C:/Users/221/Desktop/website-main/asdas/ptsdonsolana.com/comments/feed/index.html	(from https://ptsdonsolana.com/)
14:09:48	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Nov%202024%2014:12:15%20GMT	http://ptsdonsolana.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	C:/Users/221/Desktop/website-main/asdas/ptsdonsolana.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	(from https://ptsdonsolana.com/)
14:09:48	92172/92172	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221680c-61e5107b51fa9%22	https://ptsdonsolana.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	C:/Users/221/Desktop/website-main/asdas/ptsdonsolana.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	(from https://ptsdonsolana.com/)
14:09:49	34350/34350	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22862e-61e5107b51fa9%22	https://ptsdonsolana.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	C:/Users/221/Desktop/website-main/asdas/ptsdonsolana.com/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	(from https://ptsdonsolana.com/)
